"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"0.0080558475",3303.83312008959,3293.40014449162,2949.53515177008,3248.59009860618,3034.28016847952,3377.14242203514,3441.76742535261,2943.17166634535,3561.62732745245,3770.675680729
"0.0088412827",3712.2671896061,3495.6512547507,3260.50983183511,3309.84454280318,2990.67208582629,3564.21562833343,3658.53576353463,3157.56425212081,3324.66460275711,3652.6816319455
"0.0097032969",2856.19690768457,3093.1135305209,3490.90807988614,3179.64686637414,3105.09962678432,3459.23749488789,3348.3689171472,3157.36595304929,3309.58233542685,3417.97832865488
"0.0106493564",3025.62078960181,3544.86767674718,3257.99924492066,3149.20313237204,2911.66139515809,2988.45387921615,3451.42820265839,2978.53561291497,3105.61557928805,3785.33975082375
"0.0116876555",3318.0331986372,3356.53311228008,3025.70383108216,3435.66893231288,2952.08091854042,2931.50292922209,3594.47521731069,3145.22773457231,3120.65480429211,3592.868536593
"0.0128271874",3321.86241128787,3408.36974668738,2917.1400541732,2946.6883846319,3318.05008484592,3128.90057101814,3558.14685549218,2956.52493121748,3124.27727506557,3557.41356593374
"0.0140778224",2777.46365576495,3110.74932943621,2989.68002897236,3038.94544333234,2837.26537167731,2984.28074562243,3052.1745267572,2787.47478687215,2950.29701256365,3170.05008068041
"0.0154503927",2824.10005536419,2715.07791928788,3017.73361930381,2829.44782199422,2620.63678436338,2833.08424733725,2930.41545331197,2912.86990302738,2981.55022948324,3048.95879873647
"0.0169567869",2737.77905370356,2878.23898800916,3019.01410784012,2837.0133057659,2680.424045621,2914.40670672248,2877.69148693241,2810.6853063789,2880.55463824933,2982.15297031104
"0.0186100527",2742.91459937266,2651.96714148012,2855.15520036155,2798.87672836017,2668.49037728759,2861.269480887,2716.6331442383,2819.73439058935,2838.93370896246,2931.5374664269
"0.0204245098",2625.96626956694,2695.10912821354,2691.81582295355,2857.05639050955,2786.68646964357,2773.27152890285,2612.7881594444,2787.26997487859,2589.35421816006,2759.01978069836
"0.0224158743",2571.87314370316,2522.55800515789,2541.09618530691,2524.84090484354,2844.3715120826,2743.47271905273,2826.1701106314,2462.31483041155,2434.18088966921,2823.18152935389
"0.0246013944",2435.11531165254,2537.45963069673,2379.13026397777,2533.89855675982,2400.80857068136,2409.8395134161,2461.57286246851,2440.38293783039,2369.43094870965,2419.37465574124
"0.027",2486.34231146912,2436.28581786653,2495.59890431084,2418.15636247645,2389.20253170384,2415.9389966983,2392.23095280062,2398.96672031229,2525.0676864658,2437.62170307483
